"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"2:13:59,9052833","bitonic_sort.exe","7580","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"2:13:59,9052927","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"2:13:59,9053017","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"2:13:59,9053135","bitonic_sort.exe","7580","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"2:13:59,9056290","bitonic_sort.exe","7580","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x7ffe8c200000, Image Size: 0xc2000"
"2:13:59,9057344","bitonic_sort.exe","7580","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x7ffe8acb0000, Image Size: 0x2fe000"
"2:13:59,9063792","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\3c74afb9-8d82-44e3-b52c-365dbf48382a","NAME NOT FOUND","Length: 528"
"2:13:59,9066356","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","REPARSE","Desired Access: Read"
"2:13:59,9066490","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","NAME NOT FOUND","Desired Access: Read"
"2:13:59,9066830","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\05f95efe-7f75-49c7-a994-60a55cc09571","NAME NOT FOUND","Length: 528"
"2:13:59,9067385","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","REPARSE","Desired Access: Read"
"2:13:59,9067459","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","Desired Access: Read"
"2:13:59,9067557","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSAppCompat","NAME NOT FOUND","Length: 548"
"2:13:59,9067624","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSUserEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"2:13:59,9067727","bitonic_sort.exe","7580","RegCloseKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS",""
"2:13:59,9067917","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\e36c4458-ed80-4ad7-a8be-52dda1eb5f1c","NAME NOT FOUND","Length: 528"
"2:13:59,9069062","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"2:13:59,9069137","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"2:13:59,9069215","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"2:13:59,9069353","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"2:13:59,9069460","bitonic_sort.exe","7580","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"2:13:59,9069557","bitonic_sort.exe","7580","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"2:13:59,9069625","bitonic_sort.exe","7580","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"2:13:59,9069711","bitonic_sort.exe","7580","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"2:13:59,9069855","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"2:13:59,9069916","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"2:13:59,9069979","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"2:13:59,9070042","bitonic_sort.exe","7580","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"2:13:59,9071052","bitonic_sort.exe","7580","Load Image","C:\Windows\System32\msvcrt.dll","SUCCESS","Image Base: 0x7ffe8d490000, Image Size: 0x9e000"
"2:13:59,9071878","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 8736"
"2:13:59,9073872","bitonic_sort.exe","7580","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"2:13:59,9074004","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"2:13:59,9074101","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"2:13:59,9074192","bitonic_sort.exe","7580","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"2:13:59,9074804","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","REPARSE","Desired Access: Read"
"2:13:59,9074874","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","Desired Access: Read"
"2:13:59,9074980","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)","SUCCESS","Type: REG_SZ, Length: 18, Data: 00060305"
"2:13:59,9075053","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000603xx","SUCCESS","Type: REG_SZ, Length: 26, Data: kernel32.dll"
"2:13:59,9077018","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"2:13:59,9077127","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"2:13:59,9077207","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"2:13:59,9091523","bitonic_sort.exe","7580","Load Image","C:\Windows\System32\cryptbase.dll","SUCCESS","Image Base: 0x7ffe8a590000, Image Size: 0xc000"
"2:13:59,9092963","bitonic_sort.exe","7580","Load Image","C:\Windows\System32\bcryptprimitives.dll","SUCCESS","Image Base: 0x7ffe8b300000, Image Size: 0x82000"
"2:13:59,9094032","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\f3a71a4b-6118-4257-8ccb-39a33ba059d4","NAME NOT FOUND","Length: 528"
"2:13:59,9094462","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","REPARSE","Desired Access: Query Value"
"2:13:59,9094569","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS","Desired Access: Query Value"
"2:13:59,9094660","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\STE","NAME NOT FOUND","Length: 20"
"2:13:59,9094741","bitonic_sort.exe","7580","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS",""
"2:13:59,9094810","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","REPARSE","Desired Access: Query Value"
"2:13:59,9094874","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS","Desired Access: Query Value"
"2:13:59,9094937","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\Enabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"2:13:59,9095006","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","REPARSE","Desired Access: Query Value"
"2:13:59,9095068","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS","Desired Access: Query Value"
"2:13:59,9095132","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","NAME NOT FOUND","Length: 20"
"2:13:59,9095195","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\MDMEnabled","NAME NOT FOUND","Length: 20"
"2:13:59,9095257","bitonic_sort.exe","7580","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS",""
"2:13:59,9095313","bitonic_sort.exe","7580","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS",""
"2:13:59,9095398","bitonic_sort.exe","7580","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Policies\Microsoft\Cryptography\Configuration","REPARSE","Desired Access: Query Value"
"2:13:59,9095469","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Policies\Microsoft\Cryptography\Configuration","NAME NOT FOUND","Desired Access: Query Value"
"2:13:59,9131209","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 20092"
"2:13:59,9132728","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 13232"
"2:13:59,9133235","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 14040"
"2:13:59,9133604","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 12892"
"2:13:59,9134058","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 22556"
"2:13:59,9134151","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 20092, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9135594","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 12892, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9137981","bitonic_sort.exe","7580","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"2:13:59,9138489","bitonic_sort.exe","7580","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"2:13:59,9138829","bitonic_sort.exe","7580","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"2:13:59,9139144","bitonic_sort.exe","7580","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"2:13:59,9139695","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 22556, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9139820","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 14040, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9140609","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 13232, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9141872","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 4860"
"2:13:59,9142950","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 3336"
"2:13:59,9143191","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 4860, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9143819","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 19172"
"2:13:59,9144118","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 3336, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9144408","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 3656"
"2:13:59,9144791","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 19172, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9145032","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 472"
"2:13:59,9145629","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 3656, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9145979","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 472, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9146876","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 11200"
"2:13:59,9147080","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 23316"
"2:13:59,9147319","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 18372"
"2:13:59,9147970","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 8672"
"2:13:59,9148408","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 23316, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9148433","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 8700"
"2:13:59,9150193","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 8700, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9150410","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 18372, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9150629","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 11200, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9151179","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 8672, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9151758","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 19908"
"2:13:59,9152236","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 11620"
"2:13:59,9152478","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 2736"
"2:13:59,9152713","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 22672"
"2:13:59,9153170","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 9808"
"2:13:59,9153325","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 11620, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9154113","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 2736, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9154708","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 22672, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9155261","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 9808, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9155330","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 19908, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9156327","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 12924"
"2:13:59,9156639","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 1528"
"2:13:59,9156865","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 3080"
"2:13:59,9157121","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 2108"
"2:13:59,9157599","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 20816"
"2:13:59,9157746","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 12924, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9158521","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 3080, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9158558","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 1528, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9159663","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 2108, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9159854","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 20816, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9160516","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 19768"
"2:13:59,9160700","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 20148"
"2:13:59,9160956","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 2572"
"2:13:59,9161194","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 22468"
"2:13:59,9161394","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 8356"
"2:13:59,9161739","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 20148, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9162248","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 2572, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9162285","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 19768, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9163333","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 22468, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9163446","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 8356, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9164400","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 20720"
"2:13:59,9164648","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 16972"
"2:13:59,9165069","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 12472"
"2:13:59,9165332","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 20720, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9165599","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 18480"
"2:13:59,9166277","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 14828"
"2:13:59,9166376","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 12472, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9166422","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 16972, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9167427","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 14828, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9167629","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 18480, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9168330","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 15872"
"2:13:59,9168514","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 16380"
"2:13:59,9168727","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 2820"
"2:13:59,9168921","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 14348"
"2:13:59,9169115","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 15872, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9169142","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 8376"
"2:13:59,9169815","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 14348, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9169872","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 16380, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9170789","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 8376, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9170895","bitonic_sort.exe","7580","Thread Exit","","SUCCESS","Thread ID: 2820, User Time: 0.0000000, Kernel Time: 0.0000000"
"2:13:59,9171722","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 3868"
"2:13:59,9171951","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 9692"
"2:13:59,9172158","bitonic_sort.exe","7580","Thread Create","","SUCCESS","Thread ID: 20968"
